Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),ID,DEFCON_Level
16,1,0.67,3,6,25,0.787812041,324.36,1,862400,7570,3
8,1,0.11,2,38,48,0.419236417,359.34,0,959200,12128,4
9,1,0.49,3,32,69,0.582232012,332.84,1,836000,2181,3
7,0,0.3,2,31,52,0.589574156,358.28,1,924000,5946,3
8,1,0.12,5,13,42,0.552863436,364.64,0,968000,9054,2
6,1,0.1,2,4,11,0.508810573,387.96,1,880000,10947,2
7,1,0.08,2,42,52,0.357562408,349.8,1,1038400,4717,4
8,1,0.1,2,34,45,0.378120411,348.74,1,1038400,8008,4
10,0,0.65,7,18,39,0.656387665,333.9,1,959200,8179,2
8,0,0.29,3,18,58,0.618942731,349.8,1,800800,6324,2
7,0,0.3,2,35,53,0.430983847,342.38,1,844800,3789,2
10,1,0.22,2,8,28,0.662995595,334.96,1,888800,8946,2
10,0,0.73,6,6,17,0.508810573,334.96,1,994400,3629,4
6,0,0,2,27,60,0.42804699,365.7,1,968000,2451,3
7,1,0.31,4,51,140,0.429515419,347.68,1,1038400,4028,4
8,1,0.08,3,15,63,0.552863436,354.04,1,836000,10493,2
8,1,0,1,6,13,0.412628488,358.28,0,836000,20,1
6,1,0,2,5,27,0.398678414,378.42,0,950400,2064,2
7,1,0,2,4,8,0.457415565,355.1,1,959200,2765,1
13,0,0.49,6,10,24,0.831864905,325.42,1,1056000,2938,3
7,1,0.12,2,4,7,0.457415565,344.5,1,871200,10309,2
8,1,0.01,2,5,11,0.36784141,358.28,1,1012000,3918,3
8,1,0,1,8,20,0.464757709,358.28,1,853600,4830,2
7,1,0.03,2,14,31,0.395007342,354.04,1,809600,6630,3
10,0,0.58,3,5,10,0.52349486,333.9,1,844800,11434,2
8,1,0.13,2,11,31,0.464757709,345.56,1,959200,10987,2
10,0,0.35,2,10,28,0.529368576,341.32,1,906400,8830,2
6,1,0.09,2,4,13,0.317914831,393.26,1,959200,2237,2
8,0,0.15,6,16,108,0.567547724,346.62,0,827200,4196,3
8,0,0.33,2,15,29,0.376651982,350.86,1,994400,4755,4
8,1,0.24,2,15,63,0.464757709,349.8,1,836000,5438,2
7,0,0.38,1,17,31,0.446402349,355.1,1,915200,6012,3
7,1,0,3,21,39,0.453010279,357.22,1,950400,8779,2
11,1,0.49,3,9,23,0.589574156,349.8,1,897600,9273,2
7,0,0,2,7,20,0.479441997,374.18,1,880000,9173,3
7,1,0.12,4,52,71,0.398678414,347.68,0,941600,6809,3
8,0,0.1,2,9,50,0.413362702,359.34,1,862400,7462,3
8,1,0.13,3,21,89,0.466226138,332.84,1,827200,382,2
9,0,0.34,2,45,102,0.52349486,326.48,1,862400,5152,2
8,0,0.32,3,24,122,0.479441997,349.8,1,818400,8616,2
8,1,0.27,2,17,91,0.42804699,352.98,0,836000,6514,2
6,1,0.2,8,55,121,0.376651982,344.5,1,985600,2210,3
8,0,0.32,3,26,90,0.479441997,352.98,1,827200,5783,2
6,1,0.09,2,7,28,0.303230543,373.12,1,1003200,4445,3
9,1,0.21,2,8,28,0.567547724,330.72,1,844800,10051,2
8,1,0.1,3,18,101,0.552863436,343.44,1,897600,6047,3
5,0,0.25,2,29,55,0.290014684,371,1,924000,4540,3
